"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","21157711","OMOP323978","100 ML Melatonin 0.4 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35787186","OMOP2788647","100 ML Melatonin 0.4 MG/ML Oral Solution by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21137891","OMOP323980","100 ML Melatonin 0.4 MG/ML Oral Suspension","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35786457","OMOP2787918","100 ML Melatonin 0.4 MG/ML Oral Suspension by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21088792","OMOP323967","100 ML Melatonin 0.5 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35787382","OMOP2788843","100 ML Melatonin 0.5 MG/ML Oral Solution by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21128056","OMOP323969","100 ML Melatonin 0.5 MG/ML Oral Suspension","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35786827","OMOP2788288","100 ML Melatonin 0.5 MG/ML Oral Suspension by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21059405","OMOP323973","100 ML Melatonin 0.6 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35786826","OMOP2788287","100 ML Melatonin 0.6 MG/ML Oral Solution by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21098698","OMOP323975","100 ML Melatonin 0.6 MG/ML Oral Suspension","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35787013","OMOP2788474","100 ML Melatonin 0.6 MG/ML Oral Suspension by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35786381","OMOP2787842","100 ML Melatonin 1 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","36968294","OMOP5212031","100 ML melatonin 1 MG/ML Oral Solution by A A H","Marketed Product","Standard","05/21/2023","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","36947253","OMOP5212032","100 ML melatonin 1 MG/ML Oral Solution by Consilient","Marketed Product","Standard","05/21/2023","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35787187","OMOP2788648","100 ML Melatonin 1 MG/ML Oral Solution by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21167496","OMOP323971","100 ML Melatonin 1 MG/ML Oral Suspension","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35786263","OMOP2787724","100 ML Melatonin 1 MG/ML Oral Suspension by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21039795","OMOP323962","100 ML Melatonin 2 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35787384","OMOP2788845","100 ML Melatonin 2 MG/ML Oral Solution by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","21177256","OMOP323964","100 ML Melatonin 2 MG/ML Oral Suspension","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","35787383","OMOP2788844","100 ML Melatonin 2 MG/ML Oral Suspension by Drug Tariff Special Order","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","36053987","OMOP4979189","150 ML melatonin 0.8 MG/ML Oral Suspension","Quant Clinical Drug","Standard","08/16/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","36053986","OMOP4979188","150 ML melatonin 1 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/16/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
"","36053984","OMOP4979186","150 ML melatonin 1 MG/ML Oral Solution by A A H","Marketed Product","Standard","08/16/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'melatonin'"">1"
