"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","36282229","OMOP3133104","0.01 ML cannabidiol 25 MG/ML / Tetrahydrocannabinol 27 MG/ML Oral Solution","Quant Clinical Drug","Standard","09/30/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'dronabinolcannabidiol'"">2"
"","36282227","OMOP3133102","0.01 ML cannabidiol 25 MG/ML / Tetrahydrocannabinol 27 MG/ML Oral Solution Box of 3","Quant Clinical Box","Standard","09/30/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'dronabinolcannabidiol'"">2"
"","36282231","OMOP3133106","0.01 ML cannabidiol 25 MG/ML / Tetrahydrocannabinol 27 MG/ML Oral Solution [Sativex]","Quant Branded Drug","Standard","09/30/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'dronabinolcannabidiol'"">2"
"","36282230","OMOP3133105","0.01 ML cannabidiol 25 MG/ML / Tetrahydrocannabinol 27 MG/ML Oral Solution [Sativex] Box of 3","Quant Branded Box","Standard","09/30/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'dronabinolcannabidiol'"">2"
"","36282228","OMOP3133103","0.01 ML cannabidiol 25 MG/ML / Tetrahydrocannabinol 27 MG/ML Oral Solution [Sativex] Box of 3 by Almirall","Marketed Product","Standard","09/30/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'dronabinolcannabidiol'"">2"
"","36053205","OMOP4978346","100 ML cannabidiol 100 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/16/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'cannabidiol'"">1"
"","2902870","OMOP5119724","100 ML cannabidiol 100 MG/ML Oral Solution [Cbd]","Quant Branded Drug","Standard","06/29/2021","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'cannabidiol'"">1"
"","2902871","OMOP5119725","100 ML cannabidiol 100 MG/ML Oral Solution [Cbd] by Tilray","Marketed Product","Standard","06/29/2021","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'cannabidiol'"">1"
"","36053207","OMOP4978348","100 ML cannabidiol 100 MG/ML Oral Solution [Epidyolex]","Quant Branded Drug","Standard","08/16/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'cannabidiol'"">1"
"","36053206","OMOP4978347","100 ML cannabidiol 100 MG/ML Oral Solution [Epidyolex] by GW","Marketed Product","Standard","08/16/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'cannabidiol'"">1"
"","35884986","OMOP5032239","102 ACTUAT cannabidiol 2.5 MG/ACTUAT / dronabinol 2.7 MG/ACTUAT Nasal Spray [Sativex] by GW","Marketed Product","Standard","12/06/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'dronabinolcannabidiol'"">2"
