"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","41375030","OMOP2572992","15 ML vortioxetine 20 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
"","41374573","OMOP2572535","15 ML vortioxetine 20 MG/ML Oral Solution Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
"","41375089","OMOP2573051","15 ML vortioxetine 20 MG/ML Oral Solution [Brintellix]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
"","41375679","OMOP2573641","15 ML vortioxetine 20 MG/ML Oral Solution [Brintellix] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
"","41374047","OMOP2572009","15 ML vortioxetine 20 MG/ML Oral Solution [Brintellix] Box of 1 by Lundbeck","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
"","46234545","1653469","{7 (vilazodone hydrochloride 10 MG Oral Tablet) / 23 (vilazodone hydrochloride 20 MG Oral Tablet) } Pack","Clinical Pack","Standard","07/05/2015","12/30/2099","0","214","0","204","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vilazodone'"">1"
"","40235111","1086789","{7 (vilazodone hydrochloride 10 MG Oral Tablet) / 7 (vilazodone hydrochloride 20 MG Oral Tablet) / 16 (vilazodone hydrochloride 40 MG Oral Tablet) } Pack","Clinical Pack","Standard","02/05/2011","12/30/2099","0","211","0","203","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vilazodone'"">1"
"","40238655","1099645","{7 (vilazodone hydrochloride 10 MG Oral Tablet) / 7 (vilazodone hydrochloride 20 MG Oral Tablet) } Pack","Clinical Pack","Standard","04/30/2011","12/30/2099","0","0","0","0","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vilazodone'"">1"
"","46234549","1653470","{7 (vilazodone hydrochloride 10 MG Oral Tablet [Viibryd]) / 23 (vilazodone hydrochloride 20 MG Oral Tablet [Viibryd]) } Pack [Viibryd Starter Pack 10/20 30 Day Pack]","Branded Pack","Standard","07/05/2015","12/30/2099","214","214","204","204","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vilazodone'"">1"
"","40235110","1086790","{7 (vilazodone hydrochloride 10 MG Oral Tablet [Viibryd]) / 7 (vilazodone hydrochloride 20 MG Oral Tablet [Viibryd]) / 16 (vilazodone hydrochloride 40 MG Oral Tablet [Viibryd]) } Pack [Viibryd 10/20/40 30 Day Pack]","Branded Pack","Standard","02/05/2011","12/30/2099","211","211","203","203","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vilazodone'"">1"
"","40238654","1099646","{7 (vilazodone hydrochloride 10 MG Oral Tablet [Viibryd]) / 7 (vilazodone hydrochloride 20 MG Oral Tablet [Viibryd]) } Pack [Viibryd 14]","Branded Pack","Standard","04/30/2011","12/30/2099","0","0","0","0","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vilazodone'"">1"
"","36247522","1439827","Brintellix Oral Product","Branded Dose Group","Classification","07/31/2016","12/30/2099","0","12,554","0","3,732","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
"","36247523","1439828","Brintellix Pill","Branded Dose Group","Classification","07/31/2016","12/30/2099","0","12,554","0","3,732","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
"","36250126","1790884","Trintellix Oral Product","Branded Dose Group","Classification","07/31/2016","12/30/2099","0","71,212","0","12,076","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'vortioxetine'"">1"
