"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","21177626","OMOP285615","0.25 ML Midazolam 10 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'midazolam'"">1"
"","21079496","OMOP285618","0.25 ML Midazolam 10 MG/ML Oral Solution Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'midazolam'"">1"
"","19131437","801957","0.5 ML diazepam 5 MG/ML Rectal Gel","Quant Clinical Drug","Standard","07/26/2008","12/30/2099","69","105","61","89","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'diazepam'"">1"
"","19131438","801958","0.5 ML diazepam 5 MG/ML Rectal Gel [Diastat]","Quant Branded Drug","Standard","07/26/2008","12/30/2099","36","36","28","28","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'diazepam'"">1"
"","40719370","OMOP4737859","0.5 ML Lidocaine 20 MG/ML / Midazolam 40 MG/ML Inhalant Solution","Quant Clinical Drug","Standard","06/03/2018","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'midazolam'"">1"
"","40719369","OMOP4737860","0.5 ML Lidocaine 20 MG/ML / Midazolam 40 MG/ML Inhalant Solution Box of 1","Quant Clinical Box","Standard","06/03/2018","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'midazolam'"">1"
"","19129445","763027","0.5 ML lorazepam 1 MG/ML Prefilled Syringe","Quant Clinical Drug","Standard","03/29/2008","12/30/2099","0","0","0","0","Drug","RxNorm","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'lorazepam'"">1"
"","42922843","OMOP4649643","0.5 ML Lorazepam 4 MG/ML Injectable Solution","Quant Clinical Drug","Standard","08/20/2018","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'lorazepam'"">1"
"","42922842","OMOP4649642","0.5 ML Lorazepam 4 MG/ML Injectable Solution [Ativan]","Quant Branded Drug","Standard","08/20/2018","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'lorazepam'"">1"
"","2033591","OMOP4932610","0.5 ML lorazepam 4 MG/ML Injectable Solution [Ativan] by Ildong","Marketed Product","Standard","07/30/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'lorazepam'"">1"
