"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","36412626","OMOP3104668","1000 MG Amitriptyline 0.02 MG/MG / Ketamine 0.01 MG/MG Topical Cream","Quant Clinical Drug","Standard","08/01/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'amitriptyline'"">1"
"","21165392","OMOP291911","1000 MG Amitriptyline 0.02 MG/MG / Ketamine 0.01 MG/MG Topical Ointment","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'amitriptyline'"">1"
"","35133143","OMOP4790357","1000 MG Amoxapine 0.1 MG/MG Oral Granules","Quant Clinical Drug","Standard","03/10/2019","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'amoxapine'"">1"
"","35160294","OMOP4817272","1000 MG Amoxapine 0.1 MG/MG Oral Granules [Amoxan]","Quant Branded Drug","Standard","03/10/2019","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'amoxapine'"">1"
"","2024042","OMOP4922579","1000 MG doxepin 0.05 MG/MG Topical Cream","Quant Clinical Drug","Standard","07/30/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'doxepin'"">1"
"","2024043","OMOP4922580","1000 MG doxepin 0.05 MG/MG Topical Cream [DOXEDERM]","Quant Branded Drug","Standard","07/30/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'doxepin'"">1"
"","2024044","OMOP4922581","1000 MG doxepin 0.05 MG/MG Topical Cream [DOXEDERM] by Korea Biomedix","Marketed Product","Standard","07/30/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'doxepin'"">1"
"","2024045","OMOP4922582","1000 MG doxepin 0.05 MG/MG Topical Cream [LUSEPIN]","Quant Branded Drug","Standard","07/30/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'doxepin'"">1"
"","2024046","OMOP4922583","1000 MG doxepin 0.05 MG/MG Topical Cream [LUSEPIN] by Samchundang","Marketed Product","Standard","07/30/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'doxepin'"">1"
"","2024047","OMOP4922584","1000 MG doxepin 0.05 MG/MG Topical Cream [SEPEDRIN]","Quant Branded Drug","Standard","07/30/2020","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'doxepin'"">1"
